sl_pct,tp_pct,trailing_sl_trigger_pct,trailing_sl_pct,win_rate,sharpe_ratio,max_drawdown,total_trades,avg_profit
0.01,0.02,0.001,0.0005,0.6432664756446992,8.845334769790789,-58.08297751908764,16752,-0.0001360315611269728
0.01,0.02,0.001,0.0005,0.6432664756446992,8.845334769790789,-58.08297751908764,16752,-0.0001360315611269728
0.01,0.02,0.001,0.0005,0.6432664756446992,8.845334769790789,-58.08297751908764,16752,-0.0001360315611269728
0.01,0.02,0.001,0.0005,0.6432664756446992,8.845334769790789,-58.08297751908764,16752,-0.0001360315611269728
0.01,0.02,0.001,0.0005,0.6432664756446992,8.845334769790789,-58.08297751908764,16752,-0.0001360315611269728
0.01,0.02,0.001,0.0005,0.6432664756446992,8.845334769790789,-58.08297751908764,16752,-0.0001360315611269728
0.01,0.02,0.001,0.0005,0.6432664756446992,8.845334769790789,-58.08297751908764,16752,-0.0001360315611269728
0.01,0.02,0.001,0.0005,0.6432664756446992,8.845334769790789,-58.08297751908764,16752,-0.0001360315611269728
0.01,0.02,0.001,0.0005,0.6432664756446992,8.845334769790789,-58.08297751908764,16752,-0.0001360315611269728
0.01,0.02,0.002,0.0005,0.7652338214454416,4.576360614636048,-76.9224121787351,14819,-0.0002472790868269131
0.01,0.02,0.002,0.001,0.7117601301180964,3.1874711092932806,-81.45560052090715,14141,-0.0003522686066335832
0.01,0.02,0.002,0.0015,0.6609508389755667,1.6147269362137924,-84.2433244333679,13588,-0.00047819803514340304
0.01,0.02,0.002,0.0015,0.6609508389755667,1.6147269362137924,-84.2433244333679,13588,-0.00047819803514340304
0.01,0.02,0.002,0.0015,0.6609508389755667,1.6147269362137924,-84.2433244333679,13588,-0.00047819803514340304
0.01,0.02,0.002,0.0015,0.6609508389755667,1.6147269362137924,-84.2433244333679,13588,-0.00047819803514340304
0.01,0.02,0.002,0.0015,0.6609508389755667,1.6147269362137924,-84.2433244333679,13588,-0.00047819803514340304
0.01,0.02,0.002,0.0015,0.6609508389755667,1.6147269362137924,-84.2433244333679,13588,-0.00047819803514340304
0.01,0.02,0.002,0.0015,0.6609508389755667,1.6147269362137924,-84.2433244333679,13588,-0.00047819803514340304
0.01,0.02,0.003,0.0005,0.7415740022411861,-2.1355037010646054,-97.64752612824272,11601,-0.0007068569246616697
0.01,0.02,0.003,0.001,0.7182694813656503,-2.5174285977385162,-98.34520282315697,11511,-0.0007433349610205675
0.01,0.02,0.003,0.0015,0.6831264853446,-3.006377554729719,-98.94171436397782,11361,-0.000802046665903967
0.01,0.02,0.003,0.002,0.6379696888171464,-3.792736192069803,-99.45020811172807,11151,-0.0009137862196081473
0.01,0.02,0.003,0.0025,0.5916552040348464,-4.502978671714834,-99.69366891419065,10905,-0.001054586433551618
0.01,0.02,0.003,0.0025,0.5916552040348464,-4.502978671714834,-99.69366891419065,10905,-0.001054586433551618
0.01,0.02,0.003,0.0025,0.5916552040348464,-4.502978671714834,-99.69366891419065,10905,-0.001054586433551618
0.01,0.02,0.003,0.0025,0.5916552040348464,-4.502978671714834,-99.69366891419065,10905,-0.001054586433551618
0.01,0.02,0.003,0.0025,0.5916552040348464,-4.502978671714834,-99.69366891419065,10905,-0.001054586433551618
0.01,0.02,0.004,0.0005,0.6668006430868167,-4.9507875752526775,-99.8974468097527,9952,-0.0010339721661762112
0.01,0.02,0.004,0.001,0.6643180674383493,-4.960930759446646,-99.90061953735496,9935,-0.0010368025769364282
0.01,0.02,0.004,0.0015,0.6533414092469211,-5.0128311471280895,-99.90443585883298,9906,-0.001049082417163228
0.01,0.02,0.004,0.002,0.6313546423135464,-5.1467238095966135,-99.91895542222596,9855,-0.0011006291056389244
0.01,0.02,0.004,0.0025,0.5993038493038493,-5.231335829748463,-99.92219953591226,9768,-0.0011845250509123183
0.01,0.02,0.004,0.003,0.5629904997934738,-5.657821786766671,-99.94318006279687,9684,-0.0013323715511549391
0.01,0.02,0.004,0.0035,0.5284049144177255,-5.853586282535277,-99.94971226300225,9523,-0.0015152795472082375
0.01,0.02,0.004,0.0035,0.5284049144177255,-5.853586282535277,-99.94971226300225,9523,-0.0015152795472082375
0.01,0.02,0.004,0.0035,0.5284049144177255,-5.853586282535277,-99.94971226300225,9523,-0.0015152795472082375
0.01,0.02,0.005,0.0005,0.6024481693868549,-5.734278417712212,-99.96264283905926,9068,-0.0012169390250507343
0.01,0.02,0.005,0.001,0.601037413089063,-5.739613396330745,-99.96457690792116,9061,-0.0012264949362830876
0.01,0.02,0.005,0.0015,0.5975690607734807,-5.800411622376,-99.9650669471783,9050,-0.0012364607030156197
0.01,0.02,0.005,0.002,0.5892323030907278,-5.934193462714471,-99.96886138573038,9027,-0.0012885556247454232
0.01,0.02,0.005,0.0025,0.5741770462633452,-6.025061207768838,-99.97030213904118,8992,-0.0013516929773711522
0.01,0.02,0.005,0.003,0.5520402459474567,-6.402637776863852,-99.9762312107824,8945,-0.001485601364465651
0.01,0.02,0.005,0.0035,0.5231481481481481,-6.506480096875903,-99.97836481494873,8856,-0.001677587494063289
0.01,0.02,0.005,0.004,0.4898729831788534,-6.882426269043965,-99.98696442794267,8739,-0.0019341909595808175
0.01,0.02,0.005,0.0045000000000000005,0.4565520446096654,-7.284428021462611,-99.99171037665732,8608,-0.0021734070829599536
0.01,0.02,0.006,0.0005,0.551683541323287,-6.4194111812859145,-99.97997691848843,8494,-0.001397519450639744
0.01,0.02,0.006,0.001,0.5508185137204098,-6.433296822918772,-99.98039103756736,8491,-0.0014000769910156433
0.01,0.02,0.006,0.0015,0.5492576007541834,-6.4054191307444235,-99.97996149558452,8486,-0.001407615697372452
0.01,0.02,0.006,0.002,0.5445544554455446,-6.473515259775743,-99.9817063290137,8484,-0.0014586331606042567
0.01,0.02,0.006,0.0025,0.5361531190926276,-6.591996847580207,-99.98308395340543,8464,-0.00154578756660529
0.01,0.02,0.006,0.003,0.5231772377000593,-6.843943430498188,-99.98668131881675,8435,-0.0017183302007864236
0.01,0.02,0.006,0.0035,0.5074056378404205,-6.924420771655546,-99.98720011278212,8372,-0.0019054808936430372
0.01,0.02,0.006,0.004,0.4858177429088715,-7.180499547018443,-99.99169121306237,8285,-0.0021214420971288903
0.01,0.02,0.006,0.0045000000000000005,0.4595485051860891,-7.440890890866369,-99.9933919752884,8195,-0.002354722136201678
0.01,0.02,0.007,0.0005,0.5013084112149533,-6.755734831474378,-99.9893479727876,8025,-0.0016785036545428776
0.01,0.02,0.007,0.001,0.5013084112149533,-6.722424878362468,-99.98901849946512,8025,-0.0016735620306784196
0.01,0.02,0.007,0.0015,0.49925149700598803,-6.767525659001848,-99.98924923014835,8016,-0.0017009779747625016
0.01,0.02,0.007,0.002,0.4960688880569075,-6.82814282365007,-99.9898995971306,8013,-0.0017570045191825782
0.01,0.02,0.007,0.0025,0.49100674494129404,-7.0444417949626255,-99.99104144169819,8006,-0.0018792302412834081
0.01,0.02,0.007,0.003,0.4823441021788129,-7.3370714220230555,-99.99269506638586,7986,-0.002043437722512698
0.01,0.02,0.007,0.0035,0.47606449987402366,-7.3224376853936475,-99.99233539742633,7938,-0.0021893379823189844
0.01,0.02,0.007,0.004,0.46525219158937875,-7.711539602509471,-99.99426880376451,7871,-0.0023637219972891185
0.01,0.02,0.007,0.0045000000000000005,0.45085223631936433,-7.991802819543145,-99.9959775698697,7803,-0.002593077437542984
0.01,0.02,0.008,0.0005,0.4619022595901209,-7.173229806809595,-99.99266795401886,7612,-0.0019522294430926394
0.01,0.02,0.008,0.001,0.4617708880714661,-7.12065229966213,-99.9927631890266,7612,-0.001956612017451565
0.01,0.02,0.008,0.0015,0.4609518800946621,-7.130439508559808,-99.99280263110742,7606,-0.0019752238272558818
0.01,0.02,0.008,0.002,0.4584319915811629,-7.180451219133173,-99.99290656064665,7602,-0.002032895026715578
0.01,0.02,0.008,0.0025,0.45480895915678526,-7.467642047203387,-99.99457716094055,7590,-0.0021713528251424696
0.01,0.02,0.008,0.003,0.45029008438818563,-7.807813331907342,-99.99582934688303,7584,-0.0023211623039918476
0.01,0.02,0.008,0.0035,0.4467294679580735,-7.751167991683355,-99.99559906999094,7537,-0.0024546674943632103
0.01,0.02,0.008,0.004,0.4383251100146686,-8.235870134068229,-99.99707630357075,7499,-0.0026619239652795087
0.01,0.02,0.008,0.0045000000000000005,0.42972319269013703,-8.288563266153213,-99.99766882484427,7442,-0.0028492500958584707
0.01,0.02,0.009000000000000001,0.0005,0.4298872697277976,-7.315946410366441,-99.99378069628393,7274,-0.002206469823114067
0.01,0.02,0.009000000000000001,0.001,0.42919989001924663,-7.340824736761038,-99.99405936801612,7274,-0.002223243162500465
0.01,0.02,0.009000000000000001,0.0015,0.42835533553355337,-7.322517355733278,-99.9936932064617,7272,-0.0022530919217876363
0.01,0.02,0.009000000000000001,0.002,0.4275491949910555,-7.364427261532342,-99.9940105652762,7267,-0.0023023704827028293
0.01,0.02,0.009000000000000001,0.0025,0.4243217187715191,-7.619633901512441,-99.99516413872904,7261,-0.002436445902147812
0.01,0.02,0.009000000000000001,0.003,0.4216335540838852,-7.693833740543804,-99.99511209252522,7248,-0.0025373066049649345
0.01,0.02,0.009000000000000001,0.0035,0.4178566477193955,-7.625047385232331,-99.99494961721896,7213,-0.0026876224856873265
0.01,0.02,0.009000000000000001,0.004,0.41292839230983563,-7.963554247843425,-99.99606905918509,7178,-0.0028647208765629787
0.01,0.02,0.009000000000000001,0.0045000000000000005,0.40850406960426605,-7.973705028970402,-99.99687524951054,7126,-0.0030425427121989197
0.01,0.04,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.04,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.04,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.04,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.04,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.04,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.04,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.04,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.04,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.04,0.002,0.0005,0.765301302382077,4.587675210195141,-77.0997517091877,14819,-0.00024656162908231067
0.01,0.04,0.002,0.001,0.7118308464747897,3.2003777011726826,-81.59810480348727,14141,-0.0003514578744176755
0.01,0.04,0.002,0.0015,0.6610244333235208,1.6264588093800072,-84.07678182936354,13588,-0.00047735430801173166
0.01,0.04,0.002,0.0015,0.6610244333235208,1.6264588093800072,-84.07678182936354,13588,-0.00047735430801173166
0.01,0.04,0.002,0.0015,0.6610244333235208,1.6264588093800072,-84.07678182936354,13588,-0.00047735430801173166
0.01,0.04,0.002,0.0015,0.6610244333235208,1.6264588093800072,-84.07678182936354,13588,-0.00047735430801173166
0.01,0.04,0.002,0.0015,0.6610244333235208,1.6264588093800072,-84.07678182936354,13588,-0.00047735430801173166
0.01,0.04,0.002,0.0015,0.6610244333235208,1.6264588093800072,-84.07678182936354,13588,-0.00047735430801173166
0.01,0.04,0.002,0.0015,0.6610244333235208,1.6264588093800072,-84.07678182936354,13588,-0.00047735430801173166
0.01,0.04,0.003,0.0005,0.7414878027756228,-2.151336196333425,-97.66366247062898,11601,-0.0007081094981286248
0.01,0.04,0.003,0.001,0.718182607940231,-2.5329251382761253,-98.3565535863454,11511,-0.0007445973278688101
0.01,0.04,0.003,0.0015,0.6830384649238623,-3.0218877017160155,-98.94897347089942,11361,-0.0008033256998613765
0.01,0.04,0.003,0.002,0.6378800107613667,-3.807582560928221,-99.45397930351764,11151,-0.0009150893408340586
0.01,0.04,0.003,0.0025,0.59138010087116,-4.524594782938065,-99.69874986700351,10905,-0.001058169110725958
0.01,0.04,0.003,0.0025,0.59138010087116,-4.524594782938065,-99.69874986700351,10905,-0.001058169110725958
0.01,0.04,0.003,0.0025,0.59138010087116,-4.524594782938065,-99.69874986700351,10905,-0.001058169110725958
0.01,0.04,0.003,0.0025,0.59138010087116,-4.524594782938065,-99.69874986700351,10905,-0.001058169110725958
0.01,0.04,0.003,0.0025,0.59138010087116,-4.524594782938065,-99.69874986700351,10905,-0.001058169110725958
0.01,0.04,0.004,0.0005,0.6665996784565916,-4.955552076459633,-99.89707267054273,9952,-0.0010354041712912097
0.01,0.04,0.004,0.001,0.6641167589330649,-4.965713855321994,-99.90025697303405,9935,-0.0010382370323873053
0.01,0.04,0.004,0.0015,0.6531395114072279,-5.017417265674955,-99.90408721738955,9906,-0.001050521072009227
0.01,0.04,0.004,0.002,0.6311516996448503,-5.151294107201972,-99.91865975171365,9855,-0.0011020752055784938
0.01,0.04,0.004,0.0025,0.598996723996724,-5.234256417657224,-99.92191570072295,9768,-0.0011874913912611155
0.01,0.04,0.004,0.003,0.5626807104502272,-5.660318326500235,-99.94297276971936,9684,-0.0013353636218413321
0.01,0.04,0.004,0.0035,0.5280403276622558,-5.861350990774641,-99.94952880099444,9522,-0.0015196666389609126
0.01,0.04,0.004,0.0035,0.5280403276622558,-5.861350990774641,-99.94952880099444,9522,-0.0015196666389609126
0.01,0.04,0.004,0.0035,0.5280403276622558,-5.861350990774641,-99.94952880099444,9522,-0.0015196666389609126
0.01,0.04,0.005,0.0005,0.6022276135862373,-5.738520411818446,-99.96250655096672,9068,-0.0012185106301350382
0.01,0.04,0.005,0.001,0.6008166868999006,-5.7438333176111565,-99.96444767578656,9061,-0.0012280677554977958
0.01,0.04,0.005,0.0015,0.5973480662983426,-5.804661045702857,-99.96493950282719,9050,-0.0012380354339442908
0.01,0.04,0.005,0.002,0.5890107455411543,-5.939076613766934,-99.96874778442246,9027,-0.0012901343679496415
0.01,0.04,0.005,0.0025,0.5740658362989324,-6.017789278005801,-99.97019379395498,8992,-0.0013524238444091302
0.01,0.04,0.005,0.003,0.5519284516489659,-6.39269660548018,-99.97614449640523,8945,-0.001486336071721713
0.01,0.04,0.005,0.0035,0.5229813664596273,-6.5002704831228195,-99.97828588448326,8855,-0.0016794054853771147
0.01,0.04,0.005,0.004,0.48935195786581176,-6.87266722153452,-99.98696151516627,8734,-0.0019391825952764505
0.01,0.04,0.005,0.0045000000000000005,0.45598325386672867,-7.30242374705406,-99.99195313852358,8599,-0.0021811795973048
0.01,0.04,0.006,0.0005,0.5514480809983517,-6.430127508371616,-99.97975005132545,8494,-0.001398148653746862
0.01,0.04,0.006,0.001,0.5505829702037451,-6.444136173702555,-99.98016886249036,8491,-0.0014007064164298245
0.01,0.04,0.006,0.0015,0.5490219184539241,-6.4161328579876615,-99.97973445367568,8486,-0.00140824549364771
0.01,0.04,0.006,0.002,0.5442008486562943,-6.484035813082416,-99.98149905655991,8484,-0.001461142156220965
0.01,0.04,0.006,0.0025,0.5360349716446124,-6.590775611021208,-99.9828922898247,8464,-0.0015456556033125915
0.01,0.04,0.006,0.003,0.5230586840545347,-6.8406736552383425,-99.9865304144011,8435,-0.0017181977837965707
0.01,0.04,0.006,0.0035,0.507227332457293,-6.9214622243737525,-99.98701353797777,8371,-0.0019061263740373152
0.01,0.04,0.006,0.004,0.4851449275362319,-7.153531562128793,-99.99156423421412,8280,-0.0021256062697022973
0.01,0.04,0.006,0.0045000000000000005,0.4588321524554117,-7.442921718262455,-99.99346047802419,8186,-0.0023618401390891495
0.01,0.04,0.007,0.0005,0.501183800623053,-6.758913708362537,-99.98918188445354,8025,-0.0016778423330371208
0.01,0.04,0.007,0.001,0.501183800623053,-6.725602289461566,-99.98884727392345,8025,-0.001672900709172661
0.01,0.04,0.007,0.0015,0.499126746506986,-6.769552467535372,-99.98908160220121,8016,-0.0017003159107550536
0.01,0.04,0.007,0.002,0.4959440908523649,-6.8298779785828305,-99.98974210982303,8013,-0.0017563422073039196
0.01,0.04,0.007,0.0025,0.49088183862103424,-7.044939995955485,-99.99096789881466,8006,-0.001879475643620541
0.01,0.04,0.007,0.003,0.48221888304532934,-7.336990751532461,-99.99263509849105,7986,-0.002043683739431195
